                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61066,                0.44882,                0.91678,                0.99257,                      1,                  0.995,                0.68069,                 1.2138,                0.63104,                 1.1123,                0.00024,                0.00024,                0.00024
                      2,                0.59974,                0.46008,                0.92142,                0.99903,                      1,                  0.995,                0.63832,                 1.2802,                0.54259,                 1.1593,              0.0004901,              0.0004901,              0.0004901
                      3,                0.61914,                0.45656,                0.94774,                      1,                0.99911,                  0.995,                0.63477,                 1.3089,                0.59982,                 1.1934,              0.0007299,              0.0007299,              0.0007299
                      4,                0.68037,                0.47288,                0.94373,                0.97045,                0.91241,                0.97554,                0.61879,                 1.3877,                0.83791,                 1.1857,             0.00095941,             0.00095941,             0.00095941
                      5,                0.73463,                0.53133,                0.97924,                0.94097,                0.88574,                0.93711,                0.61179,                 1.3509,                0.90698,                 1.1924,              0.0011786,              0.0011786,              0.0011786
                      6,                0.73845,                0.50705,                0.96828,                0.94534,                0.96098,                 0.9889,                0.63191,                 1.3201,                0.68058,                 1.1995,              0.0013875,              0.0013875,              0.0013875
                      7,                0.66829,                0.51956,                0.95925,                0.99612,                0.94444,                0.99094,                0.62856,                  1.388,                 0.6828,                 1.2054,              0.0015862,              0.0015862,              0.0015862
                      8,                0.73544,                0.52978,                0.98147,                 0.9984,                0.94444,                 0.9889,                0.64786,                 1.3676,                0.72528,                 1.2006,              0.0017228,              0.0017228,              0.0017228
                      9,                0.74667,                0.54158,                0.95771,                 0.9207,                0.96767,                0.97995,                0.59471,                 1.3663,                0.73048,                 1.2358,              0.0017228,              0.0017228,              0.0017228
                     10,                0.74873,                0.53381,                0.95844,                0.94719,                0.99643,                0.99079,                0.61037,                 1.3713,                0.65314,                 1.2405,              0.0016832,              0.0016832,              0.0016832
                     11,                0.77967,                0.55995,                0.96885,                      1,                0.98382,                  0.995,                0.66284,                 1.2244,                0.61128,                 1.1182,              0.0016436,              0.0016436,              0.0016436
                     12,                0.73022,                0.50929,                 0.9621,                0.97049,                0.91353,                0.97071,                0.66918,                  1.235,                0.88914,                 1.1273,               0.001604,               0.001604,               0.001604
                     13,                0.75613,                0.53774,                 1.0023,                0.99995,                0.88889,                0.97947,                0.65219,                 1.3181,                0.86057,                 1.1771,              0.0015644,              0.0015644,              0.0015644
                     14,                0.74203,                0.52545,                0.96591,                0.99979,                0.91667,                0.97854,                0.64954,                 1.2833,                0.78771,                 1.1704,              0.0015248,              0.0015248,              0.0015248
                     15,                0.67604,                0.49944,                0.96922,                0.99629,                0.94444,                0.97794,                0.66075,                 1.3007,                 0.7508,                 1.1609,              0.0014852,              0.0014852,              0.0014852
                     16,                0.72803,                0.51815,                0.95316,                0.99729,                0.94444,                0.97127,                0.65148,                  1.283,                0.78196,                  1.136,              0.0014456,              0.0014456,              0.0014456
                     17,                0.68221,                0.52859,                0.95097,                0.96583,                0.94444,                0.98514,                0.67023,                  1.236,                0.64453,                 1.1257,               0.001406,               0.001406,               0.001406
                     18,                0.65618,                0.48052,                0.93465,                      1,                0.96997,                0.99214,                0.65207,                 1.2474,                0.60844,                 1.1461,              0.0013664,              0.0013664,              0.0013664
                     19,                0.68877,                0.51886,                0.97693,                      1,                 0.9701,                0.99256,                0.67631,                 1.1922,                0.59511,                 1.1204,              0.0013268,              0.0013268,              0.0013268
                     20,                0.66986,                0.48084,                0.93767,                0.97067,                0.97222,                0.98533,                0.66087,                 1.2021,                0.63313,                 1.1185,              0.0012872,              0.0012872,              0.0012872
                     21,                0.67096,                0.51438,                0.93697,                0.95058,                0.94444,                0.97881,                0.66276,                 1.1781,                0.68446,                 1.1167,              0.0012476,              0.0012476,              0.0012476
                     22,                0.66537,                0.46558,                 0.9337,                0.91643,                0.94444,                0.96394,                 0.6566,                 1.1558,                 0.7398,                 1.1193,               0.001208,               0.001208,               0.001208
                     23,                0.63413,                0.47147,                 0.9398,                0.91562,                0.94444,                0.96481,                0.67645,                 1.2181,                0.76231,                 1.1345,              0.0011684,              0.0011684,              0.0011684
                     24,                0.65924,                0.47826,                0.95617,                0.93917,                0.94444,                0.97242,                0.69523,                 1.2315,                0.71947,                 1.1364,              0.0011288,              0.0011288,              0.0011288
                     25,                0.66212,                0.46736,                0.94751,                 0.9703,                0.90782,                0.97315,                0.68646,                 1.1902,                0.69822,                 1.1315,              0.0010892,              0.0010892,              0.0010892
                     26,                0.65752,                0.46122,                0.95357,                0.99489,                0.88889,                0.97516,                 0.6885,                 1.1921,                0.65047,                 1.1368,              0.0010496,              0.0010496,              0.0010496
                     27,                0.64176,                 0.4543,                0.94334,                0.99419,                0.91667,                0.97701,                0.67224,                 1.1904,                0.65393,                 1.1262,                0.00101,                0.00101,                0.00101
                     28,                0.63499,                0.46259,                0.93686,                0.91665,                0.94444,                0.96404,                0.67957,                 1.1968,                0.80163,                 1.1354,              0.0009704,              0.0009704,              0.0009704
                     29,                0.62844,                0.43235,                0.94912,                0.96015,                0.91667,                0.96509,                 0.6692,                 1.2038,                0.81137,                 1.1403,              0.0009308,              0.0009308,              0.0009308
                     30,                0.60777,                0.44312,                0.92178,                0.96571,                0.88889,                0.96095,                0.69294,                 1.1774,                0.91279,                 1.1265,              0.0008912,              0.0008912,              0.0008912
                     31,                0.65305,                0.46033,                0.96228,                0.97028,                0.90712,                0.97191,                0.70092,                 1.1771,                0.84863,                 1.1198,              0.0008516,              0.0008516,              0.0008516
                     32,                0.59606,                0.43199,                0.92003,                0.97136,                0.94213,                0.98217,                0.70787,                 1.1835,                0.70759,                 1.1279,               0.000812,               0.000812,               0.000812
                     33,                0.59723,                0.43816,                0.95058,                 0.9902,                0.97222,                  0.993,                0.72056,                 1.1656,                0.58544,                 1.1268,              0.0007724,              0.0007724,              0.0007724
                     34,                0.60349,                0.41973,                0.92776,                 0.9914,                0.97222,                0.99214,                0.71132,                 1.1658,                0.58554,                 1.1304,              0.0007328,              0.0007328,              0.0007328
                     35,                0.58952,                0.41873,                0.94033,                0.97199,                 0.9642,                 0.9897,                0.69744,                 1.1756,                0.61142,                 1.1482,              0.0006932,              0.0006932,              0.0006932
                     36,                0.60108,                0.45613,                0.93988,                0.97217,                0.97052,                 0.9885,                0.70587,                 1.1566,                0.65441,                 1.1329,              0.0006536,              0.0006536,              0.0006536
                     37,                0.57737,                0.42224,                0.92037,                0.97213,                0.96891,                0.98924,                 0.6958,                 1.1584,                0.65718,                 1.1175,               0.000614,               0.000614,               0.000614
                     38,                0.61416,                0.41552,                0.94382,                0.97211,                0.96827,                0.98886,                0.70243,                 1.1553,                0.65096,                  1.108,              0.0005744,              0.0005744,              0.0005744
                     39,                0.58397,                0.43625,                0.92707,                0.97208,                0.96733,                0.99048,                 0.6876,                 1.2118,                0.61783,                 1.1268,              0.0005348,              0.0005348,              0.0005348
                     40,                0.58172,                0.40175,                0.90849,                      1,                0.91465,                0.98596,                0.68094,                 1.2051,                0.66476,                 1.1222,              0.0004952,              0.0004952,              0.0004952
                     41,                0.52485,                0.37196,                 0.8724,                0.94294,                0.91815,                0.96091,                0.68165,                 1.1823,                0.88325,                 1.1108,              0.0004556,              0.0004556,              0.0004556
                     42,                0.51366,                0.37171,                0.85353,                0.94279,                0.91558,                0.95403,                0.67071,                 1.1805,                0.96312,                 1.1109,               0.000416,               0.000416,               0.000416
                     43,                0.54403,                0.37809,                0.87351,                0.94252,                 0.9111,                0.95089,                0.67873,                  1.179,                 1.0184,                 1.1221,              0.0003764,              0.0003764,              0.0003764
                     44,                0.48944,                0.33432,                0.85219,                0.96092,                0.86111,                0.94865,                0.66789,                 1.1827,                 0.9809,                  1.137,              0.0003368,              0.0003368,              0.0003368
                     45,                0.50075,                0.34532,                0.86378,                0.94076,                0.88239,                0.95304,                0.66625,                  1.188,                0.94818,                 1.1441,              0.0002972,              0.0002972,              0.0002972
                     46,                0.50068,                0.34401,                0.85256,                0.91516,                0.89905,                0.96402,                0.67012,                 1.2049,                0.86006,                 1.1593,              0.0002576,              0.0002576,              0.0002576
                     47,                0.48694,                0.32216,                0.86046,                0.94249,                0.91068,                0.96927,                0.68917,                 1.1816,                0.81726,                 1.1522,               0.000218,               0.000218,               0.000218
                     48,                 0.4682,                0.33231,                0.84713,                0.94279,                 0.9156,                0.96847,                0.69473,                 1.1725,                0.81324,                 1.1465,              0.0001784,              0.0001784,              0.0001784
                     49,                0.46301,                0.32229,                0.84195,                0.91807,                0.93401,                 0.9696,                0.68992,                 1.1651,                 0.8023,                 1.1429,              0.0001388,              0.0001388,              0.0001388
                     50,                0.46177,                0.32736,                0.83046,                0.93805,                0.91667,                0.97026,                0.69985,                 1.1583,                0.80232,                 1.1396,               9.92e-05,               9.92e-05,               9.92e-05
